"","...1","...2","Province","Date","GID_1","Species","Slaughter","...8","totalRainfall","averageRainfall","stddevRainfall","wetDays","SDII","rollsum","rollsumPred","CowPop","Dep","dist2Cities","NDP_.livelihood","rollsumSTD","rollsumPredSTD","DepSTD","NDPSTD","DcitSTD","Month"
"40",40,40,"Eastern Cape","Jan 2019","ZAF.1_1","Cattle",14362,63,20495.866648864,2.1278931321495,5.43291416734659,20,1024.7933324432,168741.102128776,151661.632970475,3262332,78.1788864135742,120548.765625,0.142,0.622316885522958,0.385600573840773,0.521030864986586,1.3585678406264,0.227075071110187,"Jan"
"41",41,41,"Eastern Cape","Jan 2020","ZAF.1_1","Cattle",13879,7,25049.1272796951,2.6006153737225,6.02721289275295,23,1089.09249042153,147108.372339644,168833.00731605,3262332,78.1788864135742,120548.765625,0.142,0.376995543605749,0.575712437456513,0.521030864986586,1.3585678406264,0.227075071110187,"Jan"
"42",42,42,"Eastern Cape","Jan 2021","ZAF.1_1","Cattle",13941,115,26508.788465783,2.75215827094923,9.2530408029808,24,1104.53285274096,167373.346129962,161516.370442092,3262332,78.1788864135742,120548.765625,0.142,0.606806141372078,0.494706721576453,0.521030864986586,1.3585678406264,0.227075071110187,"Jan"
"43",43,43,"Eastern Cape","Jan 2022","ZAF.1_1","Cattle",12043,23,21238.3912333474,2.2049824785452,4.25607246202628,29,732.358318391288,166786.767674527,217153.814679155,3262332,78.1788864135742,120548.765625,0.142,0.600154173949116,1.11069342117634,0.521030864986586,1.3585678406264,0.227075071110187,"Jan"
"44",44,44,"Eastern Cape","Jan 2023","ZAF.1_1","Cattle",13799,9,26562.8698093034,2.75777302837453,4.76173634918193,29,915.961027907015,211829.336103199,181954.888427062,3262332,78.1788864135742,120548.765625,0.142,1.11094978033028,0.720990574311151,0.521030864986586,1.3585678406264,0.227075071110187,"Jan"
"45",45,45,"Eastern Cape","Jul 2015","ZAF.1_1","Cattle",20194,129,12549.2735526729,1.30287308478747,4.44621635759307,22,570.421525121497,156647.366661254,151915.524789117,3262332,78.1788864135742,120548.765625,0.142,0.485170466989373,0.388411522214935,0.521030864986586,1.3585678406264,0.227075071110187,"Jul"
"46",46,46,"Eastern Cape","Jul 2016","ZAF.1_1","Cattle",22155,117,10048.5554481503,1.04324703572989,5.07368486130087,22,456.752520370466,154416.24289364,132451.164713495,3262332,78.1788864135742,120548.765625,0.142,0.459868885451133,0.172913001619356,0.521030864986586,1.3585678406264,0.227075071110187,"Jul"
"47",47,47,"Eastern Cape","Jul 2017","ZAF.1_1","Cattle",19702,101,2175.43132900447,0.225854581499633,1.06765080339216,22,98.8832422274757,140324.28883264,179110.511503339,3262332,78.1788864135742,120548.765625,0.142,0.300062096655714,0.689499222080866,0.521030864986586,1.3585678406264,0.227075071110187,"Jul"
"48",48,48,"Eastern Cape","Jul 2018","ZAF.1_1","Cattle",22333,89,4046.06102220528,0.420064474896727,1.90451941079509,24,168.58587592522,177239.881810138,165241.252556293,3262332,78.1788864135742,120548.765625,0.142,0.718695477425765,0.535946535363529,0.521030864986586,1.3585678406264,0.227075071110187,"Jul"
"49",49,49,"Eastern Cape","Jul 2019","ZAF.1_1","Cattle",25264,77,2910.65674056113,0.302186123397127,1.11081784009937,21,138.602701931482,166376.656837937,144888.50900459,3262332,78.1788864135742,120548.765625,0.142,0.595503399786643,0.310612329234327,0.521030864986586,1.3585678406264,0.227075071110187,"Jul"
"50",50,50,"Eastern Cape","Jul 2020","ZAF.1_1","Cattle",25714,61,2636.50037624172,0.273723045706159,1.04598600135428,23,114.630451140944,145162.665368909,141686.098057141,3262332,78.1788864135742,120548.765625,0.142,0.354930670162075,0.275157024316357,0.521030864986586,1.3585678406264,0.227075071110187,"Jul"
"51",51,51,"Eastern Cape","Jul 2021","ZAF.1_1","Cattle",25677,49,3213.81887203828,0.333660597180053,1.21680101477527,25,128.552754881531,141108.779561345,197481.551381198,3262332,78.1788864135742,120548.765625,0.142,0.30895844585267,0.892893112252439,0.521030864986586,1.3585678406264,0.227075071110187,"Jul"
